Timestamp,Temperature_Fahrenheit,Relative_Humidity
2025-06-26 13:18:00,84.38,91.6
2025-06-26 13:33:00,80.06,76.9
2025-06-26 13:48:00,78.44,76.7
2025-06-26 14:03:00,77.54,76.7
2025-06-26 14:18:00,77,76.7
2025-06-26 14:33:00,76.28,76.7
2025-06-26 14:48:00,76.46,77.3
2025-06-26 15:03:00,76.82,77.5
2025-06-26 15:18:00,77.36,77.6
2025-06-26 15:33:00,77.72,77.6
2025-06-26 15:48:00,78.08,77.6
2025-06-26 16:03:00,78.26,77.6
2025-06-26 16:18:00,78.26,77.6
2025-06-26 16:33:00,78.62,77.6
2025-06-26 16:48:00,78.62,77.6
2025-06-26 17:03:00,78.62,77.6
2025-06-26 17:18:00,78.62,77.5
2025-06-26 17:33:00,78.62,77.5
2025-06-26 17:48:00,78.44,77.5
2025-06-26 18:03:00,78.26,77.4
2025-06-26 18:18:00,77.72,77.3
2025-06-26 18:33:00,76.82,77.2
2025-06-26 18:48:00,76.28,77.2
2025-06-26 19:03:00,75.74,77.1
2025-06-26 19:18:00,75.38,77.1
2025-06-26 19:33:00,75.02,77.1
2025-06-26 19:48:00,74.84,77.1
2025-06-26 20:03:00,74.66,77.1
2025-06-26 20:18:00,74.48,77.1
2025-06-26 20:33:00,74.48,77.2
2025-06-26 20:48:00,74.66,77.4
2025-06-26 21:03:00,76.64,77.8
2025-06-26 21:18:00,77.18,77.8
2025-06-26 21:33:00,77.36,77.8
2025-06-26 21:48:00,75.74,77.8
2025-06-26 22:03:00,76.82,77.8
2025-06-26 22:18:00,77.18,77.7
2025-06-26 22:33:00,77.36,77.8
2025-06-26 22:48:00,77.72,77.8
2025-06-26 23:03:00,77.72,77.8
2025-06-26 23:18:00,77.72,77.8
2025-06-26 23:33:00,77.72,77.8
2025-06-26 23:48:00,77.72,77.8
2025-06-27 0:03:00,77.72,77.8
2025-06-27 0:18:00,77.72,77.8
2025-06-27 0:33:00,77.72,77.8
2025-06-27 0:48:00,77.72,77.8
2025-06-27 1:03:00,77.72,77.8
2025-06-27 1:18:00,77.72,77.8
2025-06-27 1:33:00,77.72,77.8
2025-06-27 1:48:00,77.72,77.8
2025-06-27 2:03:00,77.54,77.7
2025-06-27 2:18:00,77.72,77.8
2025-06-27 2:33:00,77.72,77.7
2025-06-27 2:48:00,77.54,77.7
2025-06-27 3:03:00,77.54,77.7
2025-06-27 3:18:00,77.54,77.7
2025-06-27 3:33:00,77.36,77.7
2025-06-27 3:48:00,77.36,77.7
2025-06-27 4:03:00,77.18,77.7
2025-06-27 4:18:00,77.18,77.7
2025-06-27 4:33:00,77.18,77.7
2025-06-27 4:48:00,77.18,77.7
2025-06-27 5:03:00,77.18,77.7
2025-06-27 5:18:00,77.18,77.7
2025-06-27 5:33:00,77,77.7
2025-06-27 5:48:00,77,77.7
2025-06-27 6:03:00,77,77.7
2025-06-27 6:18:00,76.82,77.7
2025-06-27 6:33:00,76.82,77.7
2025-06-27 6:48:00,76.82,77.7
2025-06-27 7:03:00,76.82,77.7
2025-06-27 7:18:00,76.82,77.7
2025-06-27 7:33:00,76.82,77.6
2025-06-27 7:48:00,76.82,77.7
2025-06-27 8:03:00,77,77.8
2025-06-27 8:18:00,77.18,77.8
2025-06-27 8:33:00,77.54,77.9
2025-06-27 8:48:00,77.9,77.9
2025-06-27 9:03:00,78.08,78
2025-06-27 9:18:00,78.44,78
2025-06-27 9:33:00,78.8,77.9
2025-06-27 9:48:00,78.98,77.9
2025-06-27 10:03:00,78.98,77.9
2025-06-27 10:18:00,78.98,77.9
2025-06-27 10:33:00,78.62,77.8
2025-06-27 10:48:00,78.44,77.8
2025-06-27 11:03:00,78.26,77.7
2025-06-27 11:18:00,78.08,77.7
2025-06-27 11:33:00,77.9,77.7
2025-06-27 11:48:00,77.9,77.7
2025-06-27 12:03:00,77.72,77.7
2025-06-27 12:18:00,77.72,77.7
2025-06-27 12:33:00,77.9,77.8
2025-06-27 12:48:00,78.26,77.9
2025-06-27 13:03:00,78.44,77.9
2025-06-27 13:18:00,78.62,77.9
2025-06-27 13:33:00,78.62,77.9
2025-06-27 13:48:00,78.62,77.9
2025-06-27 14:03:00,78.62,77.9
2025-06-27 14:18:00,78.62,77.9
2025-06-27 14:33:00,78.62,77.9
2025-06-27 14:48:00,78.8,77.9
2025-06-27 15:03:00,78.8,77.9
2025-06-27 15:18:00,78.98,77.9
2025-06-27 15:33:00,78.98,77.9
2025-06-27 15:48:00,78.98,77.9
2025-06-27 16:03:00,78.98,77.9
2025-06-27 16:18:00,78.98,77.9
2025-06-27 16:33:00,78.8,77.9
2025-06-27 16:48:00,78.8,78
2025-06-27 17:03:00,78.8,78
2025-06-27 17:18:00,78.8,78
2025-06-27 17:33:00,78.8,78
2025-06-27 17:48:00,78.8,78
2025-06-27 18:03:00,78.8,78
2025-06-27 18:18:00,78.8,78
2025-06-27 18:33:00,78.8,78
2025-06-27 18:48:00,78.62,78
2025-06-27 19:03:00,78.62,78
2025-06-27 19:18:00,78.62,78
2025-06-27 19:33:00,78.44,78
2025-06-27 19:48:00,78.44,78
2025-06-27 20:03:00,78.44,78
2025-06-27 20:18:00,78.26,77.9
2025-06-27 20:33:00,78.26,77.9
2025-06-27 20:48:00,78.26,78
2025-06-27 21:03:00,78.26,78
2025-06-27 21:18:00,78.26,78
2025-06-27 21:33:00,78.26,78
2025-06-27 21:48:00,78.26,78
2025-06-27 22:03:00,78.44,78
2025-06-27 22:18:00,78.08,78
2025-06-27 22:33:00,77.9,78
2025-06-27 22:48:00,77.54,77.9
2025-06-27 23:03:00,77,77.9
2025-06-27 23:18:00,76.46,77.8
2025-06-27 23:33:00,76.28,77.8
2025-06-27 23:48:00,75.74,77.8
2025-06-28 0:03:00,75.56,77.8
2025-06-28 0:18:00,75.38,77.8
2025-06-28 0:33:00,75.2,77.8
2025-06-28 0:48:00,75.02,77.8
2025-06-28 1:03:00,75.02,77.8
2025-06-28 1:18:00,74.84,77.8
2025-06-28 1:33:00,74.84,77.8
2025-06-28 1:48:00,74.84,77.8
2025-06-28 2:03:00,74.84,77.8
2025-06-28 2:18:00,74.66,77.8
2025-06-28 2:33:00,74.66,77.8
2025-06-28 2:48:00,74.66,77.8
2025-06-28 3:03:00,74.66,77.8
2025-06-28 3:18:00,74.66,77.8
